Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,90.35,90.85,89.83,90.14,89.62,1094500
2019-04-02,91.5,91.53,89.71,90.92,90.39,1438200
2019-04-03,91.3,91.31,90.04,90.57,90.04,914100
2019-04-04,90.5,91.03,90.08,91.02,90.49,724300
2019-04-05,90.51,90.89,90.02,90.77,90.77,1298200
2019-04-08,90.58,90.84,89.6,90.48,90.48,744400
2019-04-09,90.09,90.53,89.74,89.95,89.95,607400
2019-04-10,90.0,90.59,89.46,90.37,90.37,794300
2019-04-11,90.74,90.74,89.45,89.72,89.72,1110400
2019-04-12,89.73,90.98,89.66,89.88,89.88,944600
