Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,111.59,112.87,111.38,112.51,112.51,10785100
2019-04-02,113.15,113.31,111.92,111.96,111.96,9231800
2019-04-03,112.7,113.11,112.21,112.52,112.52,10534900
2019-04-04,113.24,114.86,113.03,114.75,114.75,14378400
2019-04-05,114.97,115.13,114.31,115.0,115.0,10907900
2019-04-08,115.0,115.83,114.64,114.96,114.96,11054200
2019-04-09,115.61,117.16,115.28,116.86,116.86,17340300
2019-04-10,117.58,118.03,116.28,117.16,117.16,14091100
2019-04-11,117.73,117.86,116.32,116.6,116.6,12784500
2019-04-12,127.91,130.9,126.36,130.06,130.06,65253500
