Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.47,28.07,27.4,27.75,27.75,4004200
2019-04-02,27.79,27.85,27.29,27.39,27.39,3380900
2019-04-03,27.58,28.15,27.35,27.87,27.87,3377500
2019-04-04,27.87,28.92,27.87,28.88,28.88,3607500
2019-04-05,29.0,29.91,28.99,29.48,29.48,4464100
2019-04-08,29.42,29.48,28.82,28.87,28.87,3871900
2019-04-09,28.89,28.97,28.58,28.84,28.84,2337500
2019-04-10,28.78,31.0,28.73,30.59,30.59,10635700
2019-04-11,30.78,31.34,30.06,30.19,30.19,6015700
2019-04-12,30.28,30.8,29.65,30.02,30.02,5015800
