Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,25.92,26.39,25.81,26.18,26.18,2664600
2019-04-02,26.19,26.27,25.76,25.85,25.85,2853900
2019-04-03,26.05,26.51,25.81,26.24,26.24,2059500
2019-04-04,26.24,27.17,26.2,27.16,27.16,1446400
2019-04-05,27.27,28.14,27.24,27.61,27.61,2349000
2019-04-08,27.53,27.65,27.0,27.04,27.04,2278500
2019-04-09,27.0,27.14,26.78,26.98,26.98,2571000
2019-04-10,26.98,28.87,26.97,28.25,28.25,4484300
2019-04-11,28.33,28.97,27.71,27.83,27.83,4567200
2019-04-12,27.97,28.43,27.52,28.0,28.0,2373600
