Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,94.93,95.98,94.56,95.96,95.96,936800
2019-04-02,96.05,96.29,95.36,95.87,95.87,640900
2019-04-03,96.34,96.75,95.83,96.01,96.01,869900
2019-04-04,96.15,96.98,96.0,96.88,96.88,525500
2019-04-05,97.03,97.65,96.2,96.54,96.54,1004400
2019-04-08,96.04,96.73,95.7,96.68,96.68,695800
2019-04-09,96.4,96.4,94.67,94.88,94.88,800500
2019-04-10,94.83,95.2,94.35,95.18,95.18,835300
2019-04-11,95.08,96.02,94.92,95.81,95.81,944200
2019-04-12,96.48,97.13,96.06,97.13,97.13,711400
