Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,52.3,54.39,51.25,53.5,53.5,19663400
2019-04-02,55.12,57.39,54.3,56.25,56.25,17414200
2019-04-03,57.08,57.2,55.51,56.88,56.88,15066200
2019-04-04,57.2,60.52,57.1,59.71,59.71,13309200
2019-04-05,58.39,58.98,56.27,57.24,57.24,17000800
2019-04-08,56.5,58.39,56.27,57.15,57.15,10764600
2019-04-09,56.8,57.2,56.08,56.27,56.27,9179900
2019-04-10,55.99,56.41,55.1,55.71,55.71,9081900
2019-04-11,55.7,56.21,54.83,54.89,54.89,7346100
2019-04-12,55.93,58.33,55.93,58.3,58.3,9281700
