Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,124.52,124.64,122.86,123.8,123.8,766900
2019-04-02,123.59,124.06,123.05,123.9,123.9,869700
2019-04-03,123.71,124.08,122.41,123.47,123.47,665100
2019-04-04,124.06,124.06,122.06,122.82,122.82,774900
2019-04-05,122.76,124.04,122.63,123.98,123.98,590000
2019-04-08,123.65,123.79,122.46,122.62,122.62,614300
2019-04-09,122.67,123.28,122.47,123.23,123.23,735100
2019-04-10,123.84,124.43,122.68,123.01,123.01,864600
2019-04-11,123.1,124.0,122.72,123.92,123.92,760200
2019-04-12,123.55,124.55,122.7,124.42,124.42,948400
