Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,31.92,32.08,31.28,31.54,31.54,5252100
2019-04-02,31.6,31.83,31.16,31.21,31.21,4385200
2019-04-03,31.38,31.45,30.49,30.71,30.71,4312600
2019-04-04,30.8,31.12,30.41,31.01,31.01,5131500
2019-04-05,31.16,32.21,31.14,32.2,32.2,7171400
2019-04-08,32.39,32.49,31.64,32.03,32.03,5413700
2019-04-09,31.84,31.93,30.97,31.06,31.06,4981600
2019-04-10,31.26,31.6,31.11,31.4,31.4,4927900
2019-04-11,31.19,31.75,30.84,31.18,31.18,3416500
2019-04-12,32.99,33.81,32.6,33.48,33.48,13576000
