Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,103.03,103.95,101.62,102.67,102.67,2879200
2019-04-02,103.01,103.1,100.16,100.84,100.84,3157500
2019-04-03,100.91,102.16,100.07,100.15,100.15,3522800
2019-04-04,99.99,100.3,97.59,97.94,97.94,4308700
2019-04-05,98.5,99.89,97.96,99.43,99.43,3738000
2019-04-08,99.01,99.42,95.66,97.95,97.95,3951000
2019-04-09,97.54,99.15,97.4,98.25,98.25,2543200
2019-04-10,98.58,100.35,98.38,99.63,99.63,2199500
2019-04-11,100.0,101.4,99.63,100.58,100.58,2530500
2019-04-12,101.13,102.39,100.32,101.83,101.83,2375900
