Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,177.48,178.75,177.17,178.67,178.67,1009900
2019-04-02,178.75,178.75,177.24,178.14,178.14,634900
2019-04-03,178.75,182.55,178.28,181.45,181.45,2009400
2019-04-04,181.13,182.59,180.21,182.56,182.56,1377100
2019-04-05,182.56,183.41,180.88,181.71,181.71,889900
2019-04-08,181.3,181.78,180.17,181.24,181.24,685200
2019-04-09,180.63,181.54,179.74,181.5,181.5,860600
2019-04-10,181.61,182.6,179.93,182.58,182.58,688700
2019-04-11,182.35,183.17,181.83,182.98,182.98,610900
2019-04-12,183.78,185.31,182.82,185.09,185.09,769300
