Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,84.67,84.67,83.55,84.32,84.32,1771300
2019-04-02,84.3,84.79,83.79,84.76,84.76,1272100
2019-04-03,84.51,84.75,83.66,84.44,84.44,1217700
2019-04-04,84.57,84.76,83.55,83.99,83.99,1281300
2019-04-05,84.0,84.84,83.62,84.81,84.81,921100
2019-04-08,84.45,84.66,83.66,83.79,83.79,1792500
2019-04-09,83.77,84.22,83.7,84.16,84.16,951100
2019-04-10,84.27,84.98,83.78,83.87,83.87,1006300
2019-04-11,84.0,84.58,83.77,84.47,84.47,1086400
2019-04-12,84.24,84.66,83.61,84.55,84.55,1640800
