Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,119.1,119.83,118.86,119.52,119.52,652700
2019-04-02,119.69,120.32,118.45,120.23,120.23,486200
2019-04-03,120.71,122.4,120.36,122.34,122.34,776400
2019-04-04,122.65,123.12,121.85,123.11,123.11,1216800
2019-04-05,123.39,124.83,123.34,123.78,123.78,1588200
2019-04-08,123.45,124.02,122.6,123.27,123.27,734600
2019-04-09,122.78,123.15,122.32,122.52,122.52,478500
2019-04-10,122.88,123.13,121.92,123.12,123.12,602100
2019-04-11,123.42,124.57,122.87,124.48,124.48,562200
2019-04-12,125.0,126.15,124.54,125.06,125.06,540500
