Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,443.56,456.77,443.56,456.3,456.3,376200
2019-04-02,457.46,461.75,455.02,460.44,460.44,484000
2019-04-03,461.71,466.11,455.69,462.01,462.01,531700
2019-04-04,462.55,464.73,459.9,461.44,461.44,448900
2019-04-05,461.97,467.29,460.45,466.62,466.62,284800
2019-04-08,466.74,467.99,460.32,463.41,463.41,251000
2019-04-09,463.19,464.23,459.16,460.11,460.11,284600
2019-04-10,461.56,462.99,459.52,461.21,461.21,304200
2019-04-11,456.99,462.92,456.99,460.67,460.67,256300
2019-04-12,457.82,464.0,453.72,463.38,463.38,369900
