Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.97,48.3,46.89,47.97,47.97,2104100
2019-04-02,47.91,48.17,47.59,48.06,48.06,1832100
2019-04-03,48.56,48.91,47.77,48.03,48.03,1692600
2019-04-04,47.99,48.7,47.99,48.43,48.43,1128800
2019-04-05,48.44,48.85,48.01,48.77,48.77,1903800
2019-04-08,48.51,48.77,48.29,48.67,48.67,1156700
2019-04-09,48.36,48.67,47.69,47.99,47.99,1895500
2019-04-10,48.04,48.13,47.53,48.04,48.04,1705400
2019-04-11,48.34,48.85,48.12,48.28,48.28,1677000
2019-04-12,49.03,49.67,48.86,49.29,49.29,2009800
