Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,76.44,77.68,76.26,77.6,77.6,1000900
2019-04-02,77.66,78.17,77.23,78.09,78.09,1360400
2019-04-03,78.15,79.24,77.57,77.78,77.78,1562300
2019-04-04,77.6,78.48,77.01,78.35,78.35,988400
2019-04-05,78.63,78.98,77.89,78.11,78.11,1056100
2019-04-08,77.95,79.25,77.74,78.23,78.23,645900
2019-04-09,78.02,79.15,77.52,77.81,77.81,838300
2019-04-10,78.02,78.14,77.34,77.8,77.8,760900
2019-04-11,78.04,78.32,77.72,78.19,78.19,576700
2019-04-12,78.71,79.07,78.32,79.04,79.04,674700
