Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,101.0,101.3,99.85,101.18,101.18,1001900
2019-04-02,101.25,102.28,100.15,102.09,102.09,1988900
2019-04-03,102.15,102.61,101.0,102.19,102.19,880700
2019-04-04,102.12,102.31,100.65,100.92,100.92,442500
2019-04-05,101.14,101.71,100.8,101.64,101.64,439400
2019-04-08,101.23,101.34,99.62,100.13,100.13,1102900
2019-04-09,100.44,101.67,99.92,100.99,100.99,644600
2019-04-10,101.36,102.31,101.32,101.99,101.99,805400
2019-04-11,102.18,102.53,100.97,101.6,101.6,700100
2019-04-12,101.57,102.21,100.8,102.19,102.19,448100
