Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,102.9,104.2,102.35,103.69,103.69,1414000
2019-04-02,103.9,104.56,102.41,102.49,102.49,1209100
2019-04-03,102.99,103.45,99.52,99.96,99.96,1492000
2019-04-04,100.0,100.53,98.8,99.84,99.84,1751900
2019-04-05,100.57,102.85,100.06,102.45,102.45,1951600
2019-04-08,102.8,105.16,102.8,104.35,104.35,1577000
2019-04-09,103.79,104.08,102.22,102.84,102.84,1236700
2019-04-10,102.91,104.5,102.6,103.87,103.87,1208200
2019-04-11,103.31,103.37,99.84,99.92,99.92,3192700
2019-04-12,105.0,108.09,104.52,106.28,106.28,3828700
