Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,64.95,65.86,64.53,65.79,65.79,2132000
2019-04-02,65.78,66.11,65.57,66.01,66.01,1538000
2019-04-03,66.17,66.59,65.67,65.82,65.82,2027300
2019-04-04,66.01,66.55,65.83,66.32,66.32,1076700
2019-04-05,66.6,66.84,66.25,66.67,66.67,1286600
2019-04-08,66.66,67.09,66.42,66.59,66.59,1719800
2019-04-09,66.18,66.18,64.87,64.97,64.97,2340300
2019-04-10,64.58,65.33,64.1,65.19,65.19,2721400
2019-04-11,67.57,69.2,67.0,68.48,68.48,5969500
2019-04-12,68.77,69.8,68.22,69.71,69.71,3129700
