Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,167.83,168.9,167.28,168.7,168.7,10381500
2019-04-02,170.14,174.9,169.55,174.2,174.2,23946500
2019-04-03,174.5,177.96,172.95,173.54,173.54,27590100
2019-04-04,176.02,178.0,175.53,176.02,176.02,17847700
2019-04-05,176.88,177.0,175.1,175.72,175.72,9594100
2019-04-08,175.21,175.5,174.23,174.93,174.93,7297400
2019-04-09,175.62,179.19,175.55,177.58,177.58,19751000
2019-04-10,178.18,178.79,176.54,177.82,177.82,11701500
2019-04-11,178.24,178.4,177.0,177.51,177.51,8071000
2019-04-12,178.0,179.63,177.95,179.1,179.1,12329800
