Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,47.95,48.67,47.69,47.89,47.89,2225100
2019-04-02,47.86,47.9,47.16,47.56,47.56,2268700
2019-04-03,47.73,48.35,47.64,48.21,48.21,1634300
2019-04-04,48.25,49.21,48.25,48.92,48.92,921400
2019-04-05,49.13,50.36,49.13,50.26,50.26,1795200
2019-04-08,50.22,50.61,49.8,50.49,50.49,1160800
2019-04-09,50.13,50.13,49.31,49.4,49.4,1250700
2019-04-10,49.56,49.76,49.23,49.67,49.67,797000
2019-04-11,48.37,49.15,47.51,49.11,49.11,1615900
2019-04-12,49.62,50.0,48.96,49.13,49.13,1473800
