Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,182.27,187.0,182.22,186.45,186.45,2340900
2019-04-02,186.51,186.66,183.68,184.03,184.03,1553000
2019-04-03,185.59,188.0,184.28,185.19,185.19,1263900
2019-04-04,184.8,187.75,184.8,187.67,187.67,1303100
2019-04-05,187.93,190.37,187.26,189.9,189.9,2301400
2019-04-08,189.14,191.56,188.4,191.38,191.38,1595000
2019-04-09,189.9,190.43,188.85,189.95,189.95,1435500
2019-04-10,190.0,191.75,189.5,191.0,191.0,1069400
2019-04-11,191.35,193.0,190.96,191.87,191.87,1541100
2019-04-12,194.0,196.98,193.18,196.95,196.95,1651200
