Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,88.98,89.48,88.12,89.31,89.31,2821600
2019-04-02,89.54,90.18,89.27,89.78,89.78,3517900
2019-04-03,90.36,91.19,89.7,90.64,90.64,3156100
2019-04-04,90.67,90.84,89.41,90.08,90.08,2671600
2019-04-05,90.39,90.6,89.62,89.86,89.86,1924900
2019-04-08,89.63,89.63,87.98,88.33,88.33,7082300
2019-04-09,87.85,88.56,87.68,88.23,88.23,4726300
2019-04-10,88.12,88.38,86.3,86.75,86.75,6478400
2019-04-11,87.09,87.17,85.32,85.54,85.54,9136600
2019-04-12,86.04,86.82,85.25,86.3,86.3,5758600
