Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,25.57,26.38,25.48,26.25,26.25,14375700
2019-04-02,26.15,26.63,26.06,26.22,26.22,8824400
2019-04-03,26.52,26.91,26.19,26.26,26.26,7998500
2019-04-04,26.17,26.84,26.17,26.75,26.75,9416200
2019-04-05,26.8,26.95,26.47,26.69,26.69,5612200
2019-04-08,26.66,26.91,26.58,26.87,26.87,7319200
2019-04-09,26.69,26.75,26.33,26.43,26.43,6073400
2019-04-10,26.45,26.73,26.21,26.72,26.72,6313800
2019-04-11,26.84,27.16,26.68,26.97,26.97,6802500
2019-04-12,27.4,27.96,27.17,27.66,27.66,9033200
