Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,61.06,61.28,59.89,61.2,60.83,2889300
2019-04-02,61.22,61.51,60.52,60.65,60.29,3672200
2019-04-03,61.21,62.31,60.82,61.8,61.43,2897700
2019-04-04,61.89,64.47,61.81,64.45,64.06,3126400
2019-04-05,64.71,65.04,63.67,63.7,63.32,2978900
2019-04-08,63.75,64.4,63.09,63.33,62.95,2525200
2019-04-09,63.01,63.06,60.91,61.11,60.74,3362200
2019-04-10,60.22,61.24,60.08,61.24,60.87,3165900
2019-04-11,61.32,61.96,60.53,60.72,60.36,2971000
2019-04-12,61.15,61.96,60.95,61.9,61.53,1893800
