Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,37.15,38.78,37.15,38.64,38.64,1761700
2019-04-02,38.63,38.7,38.06,38.5,38.5,1268200
2019-04-03,38.78,39.31,38.72,38.94,38.94,1501700
2019-04-04,38.88,39.95,38.88,39.89,39.89,1910200
2019-04-05,39.82,40.54,39.74,40.53,40.53,1747800
2019-04-08,40.31,40.56,39.92,40.23,40.23,926400
2019-04-09,39.85,39.85,39.02,39.21,39.21,807100
2019-04-10,39.36,39.95,39.08,39.74,39.74,941800
2019-04-11,39.79,40.93,39.73,40.87,40.87,1380100
2019-04-12,41.24,41.67,40.76,41.18,41.18,793300
