Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,248.82,250.82,246.9,249.06,249.06,920300
2019-04-02,250.65,251.06,248.47,250.1,250.1,568700
2019-04-03,250.94,250.94,249.02,249.97,249.97,531100
2019-04-04,250.26,250.43,246.72,248.32,248.32,404400
2019-04-05,249.33,250.88,248.46,250.31,250.31,402500
2019-04-08,250.18,251.01,247.86,250.88,250.88,220100
2019-04-09,249.42,251.41,249.42,250.28,250.28,339600
2019-04-10,250.9,252.34,249.89,250.15,250.15,313200
2019-04-11,250.42,251.42,248.71,249.92,249.92,715100
2019-04-12,251.36,251.8,249.55,251.38,251.38,309700
