Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,77.65,79.14,77.41,78.94,78.94,1331900
2019-04-02,79.06,80.08,78.74,78.96,78.96,1006800
2019-04-03,79.79,80.6,79.04,79.15,79.15,1312400
2019-04-04,79.18,80.33,78.63,80.33,80.33,822500
2019-04-05,80.49,80.65,80.04,80.42,80.42,980800
2019-04-08,80.59,81.01,79.9,80.72,80.72,850200
2019-04-09,80.33,80.55,79.56,80.04,80.04,548000
2019-04-10,80.16,80.47,79.53,80.42,80.42,437400
2019-04-11,80.29,80.52,79.49,79.89,79.89,502900
2019-04-12,80.51,80.69,79.61,79.97,79.97,670700
