Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,36.91,37.15,36.71,36.85,36.85,5311200
2019-04-02,36.96,37.18,35.9,36.28,36.28,6704600
2019-04-03,36.37,36.56,35.9,36.08,36.08,8393500
2019-04-04,36.2,36.8,36.01,36.76,36.76,4908400
2019-04-05,36.79,37.85,36.69,37.68,37.68,7344900
2019-04-08,37.6,37.68,37.26,37.47,37.47,3393300
2019-04-09,37.42,37.65,37.17,37.31,37.31,5725900
2019-04-10,37.33,37.53,36.36,36.48,36.48,4828400
2019-04-11,36.57,37.16,35.99,37.09,37.09,4791400
2019-04-12,37.15,37.62,36.47,37.53,37.53,6368500
