Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,101.76,102.59,101.06,102.51,102.51,1639100
2019-04-02,102.6,104.26,102.33,103.7,103.7,969800
2019-04-03,104.56,104.93,103.78,104.24,104.24,779800
2019-04-04,104.03,104.86,103.77,104.6,104.6,858500
2019-04-05,104.88,105.25,104.13,104.77,104.77,828400
2019-04-08,104.59,104.99,103.86,104.27,104.27,1105300
2019-04-09,103.91,104.09,102.28,102.69,102.69,1826600
2019-04-10,103.03,103.51,102.23,103.36,103.36,1888100
2019-04-11,103.74,104.0,102.39,102.56,102.56,1536600
2019-04-12,100.0,102.93,99.4,101.8,101.8,2953200
