Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,65.54,66.24,65.25,65.88,65.88,5757300
2019-04-02,65.69,66.78,65.69,66.24,66.24,6932100
2019-04-03,66.68,66.78,66.18,66.66,66.66,6687000
2019-04-04,66.63,67.24,66.53,66.84,66.84,5713800
2019-04-05,67.2,68.07,66.91,67.54,67.54,5401100
2019-04-08,67.39,67.81,66.9,67.38,67.38,5308400
2019-04-09,67.27,67.62,65.94,66.09,66.09,5908000
2019-04-10,67.23,67.57,66.78,67.4,67.4,7451400
2019-04-11,67.84,68.0,66.03,66.31,66.31,5994400
2019-04-12,66.76,66.84,65.08,65.28,65.28,6975400
