Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,37.4,37.82,37.33,37.76,37.76,7145600
2019-04-02,37.83,38.01,37.61,37.81,37.81,5667100
2019-04-03,38.25,38.64,38.23,38.39,38.39,9029200
2019-04-04,38.4,38.94,38.39,38.79,38.79,7116100
2019-04-05,38.85,39.01,38.58,38.94,38.94,4497800
2019-04-08,38.77,39.09,38.76,39.06,39.06,5992400
2019-04-09,38.85,39.08,38.7,38.86,38.86,6528900
2019-04-10,38.89,39.42,38.78,39.25,39.25,5471100
2019-04-11,39.38,39.59,39.13,39.33,39.33,4581500
2019-04-12,39.6,40.05,39.53,39.71,39.71,4949700
