Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1187.54,1200.2,1186.36,1198.98,1198.98,1385300
2019-04-02,1200.05,1205.81,1191.24,1205.54,1205.54,914400
2019-04-03,1212.7,1220.6,1205.08,1210.81,1210.81,1109600
2019-04-04,1211.29,1220.55,1209.04,1219.45,1219.45,1051100
2019-04-05,1219.3,1220.39,1210.03,1211.45,1211.45,1000600
2019-04-08,1211.11,1213.95,1204.7,1208.28,1208.28,1087500
2019-04-09,1201.89,1207.15,1198.38,1202.69,1202.69,983400
2019-04-10,1205.09,1208.94,1200.66,1206.45,1206.45,775500
2019-04-11,1208.9,1212.74,1204.54,1209.59,1209.59,849900
2019-04-12,1215.62,1223.05,1213.29,1222.73,1222.73,1215600
