Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,112.68,113.21,112.17,113.1,113.1,624800
2019-04-02,112.78,113.07,112.16,112.49,112.49,800800
2019-04-03,112.7,113.05,112.25,112.6,112.6,1108500
2019-04-04,112.99,113.61,112.6,113.58,113.58,823500
2019-04-05,113.76,115.2,113.6,115.14,115.14,585400
2019-04-08,114.77,114.81,113.86,114.41,114.41,596800
2019-04-09,114.0,114.0,112.77,113.07,113.07,676800
2019-04-10,113.24,113.42,112.1,112.77,112.77,632000
2019-04-11,113.04,113.04,112.41,112.58,112.58,666200
2019-04-12,113.0,113.03,112.0,112.81,112.81,692000
