Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,137.88,138.89,137.61,138.66,138.66,872100
2019-04-02,138.73,139.15,138.26,138.8,138.8,788900
2019-04-03,139.05,139.4,137.57,137.8,137.8,1066900
2019-04-04,137.83,138.5,135.1,135.69,135.69,1684300
2019-04-05,135.94,136.93,135.7,136.9,136.9,802100
2019-04-08,136.71,136.71,134.98,136.63,136.63,875600
2019-04-09,135.94,137.06,135.92,136.68,136.68,520800
2019-04-10,136.6,137.43,136.55,137.05,137.05,857700
2019-04-11,137.46,137.59,136.35,137.07,137.07,707600
2019-04-12,137.87,139.18,137.7,139.14,139.14,746300
