Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,26.26,26.27,25.62,26.1,25.86,4590500
2019-04-02,25.99,26.14,25.8,25.8,25.56,3511400
2019-04-03,26.08,26.41,26.02,26.12,25.88,3638500
2019-04-04,26.13,26.81,26.1,26.73,26.48,2992300
2019-04-05,26.75,27.0,26.19,26.24,26.0,5022500
2019-04-08,26.3,26.72,26.09,26.43,26.19,4803500
2019-04-09,26.08,26.12,25.62,25.65,25.65,2949300
2019-04-10,25.69,25.92,25.34,25.9,25.9,3317000
2019-04-11,25.96,26.1,25.31,25.47,25.47,3765600
2019-04-12,25.6,25.84,25.34,25.78,25.78,3409200
