Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,86.7,88.03,86.66,87.88,87.88,1190800
2019-04-02,87.71,88.39,87.26,88.25,88.25,1081300
2019-04-03,88.7,89.1,88.18,88.56,88.56,1306400
2019-04-04,88.41,88.45,87.53,88.2,88.2,862100
2019-04-05,88.52,88.52,88.01,88.17,88.17,660600
2019-04-08,88.17,89.19,87.8,89.1,89.1,903500
2019-04-09,88.76,89.33,88.04,88.23,88.23,807900
2019-04-10,88.48,89.08,88.05,88.8,88.8,856900
2019-04-11,89.16,89.16,88.21,89.01,89.01,952800
2019-04-12,89.31,89.72,88.86,88.95,88.95,674500
