Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,194.0,198.09,193.61,196.74,196.74,3562600
2019-04-02,196.24,197.76,195.4,197.5,197.5,2247000
2019-04-03,199.25,201.09,198.54,200.86,200.86,3227900
2019-04-04,200.8,204.29,200.5,202.23,202.23,2582300
2019-04-05,203.38,205.5,202.06,202.38,202.38,2447100
2019-04-08,202.79,203.63,201.18,202.54,202.54,1891500
2019-04-09,201.23,201.59,198.86,200.62,200.62,2400900
2019-04-10,201.8,203.17,200.27,202.98,202.98,1907100
2019-04-11,204.23,205.45,201.57,202.83,202.83,2802100
2019-04-12,207.0,209.97,206.37,207.84,207.84,5096600
