Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,301.5,311.43,301.5,311.26,311.26,509300
2019-04-02,310.92,313.32,308.58,311.27,311.27,442000
2019-04-03,312.76,314.7,310.42,311.58,311.58,389400
2019-04-04,311.0,315.5,311.0,313.64,313.64,304400
2019-04-05,313.99,318.9,313.6,316.5,316.5,410200
2019-04-08,315.44,316.51,314.21,314.96,314.96,313200
2019-04-09,314.33,314.33,305.08,305.28,305.28,339400
2019-04-10,299.99,304.22,297.0,303.17,303.17,497200
2019-04-11,306.0,313.26,306.0,308.99,308.99,415700
2019-04-12,306.5,308.27,302.56,304.86,304.86,687700
