Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,85.46,85.86,85.02,85.68,85.68,925700
2019-04-02,85.57,85.74,84.96,85.12,85.12,569300
2019-04-03,85.41,86.04,84.61,85.26,85.26,745500
2019-04-04,85.23,86.36,85.0,86.03,86.03,1303800
2019-04-05,86.25,86.67,86.08,86.56,86.56,589900
2019-04-08,86.27,86.66,86.04,86.53,86.53,541100
2019-04-09,86.37,86.37,84.75,85.15,85.15,1356600
2019-04-10,85.16,85.83,84.81,85.6,85.6,568900
2019-04-11,85.89,86.27,85.36,85.85,85.85,528000
2019-04-12,86.14,87.62,86.04,87.57,87.57,953600
