Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,131.64,132.25,130.85,131.98,131.98,1405500
2019-04-02,131.83,131.95,129.67,130.65,130.65,958400
2019-04-03,131.49,132.15,130.92,131.21,131.21,994000
2019-04-04,131.51,132.58,131.03,132.35,132.35,1488700
2019-04-05,132.56,134.39,132.48,134.08,134.08,1592400
2019-04-08,133.47,133.7,131.72,131.84,131.84,993000
2019-04-09,131.27,132.81,130.89,132.28,132.28,1132000
2019-04-10,132.88,134.7,132.29,133.93,133.93,1111400
2019-04-11,134.09,134.72,129.68,130.13,130.13,1020800
2019-04-12,130.63,132.29,127.52,127.87,127.87,2693200
