Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,31.31,31.36,30.83,31.18,31.18,3244700
2019-04-02,31.21,31.29,30.8,31.25,31.25,3308500
2019-04-03,31.2,31.38,30.94,31.23,31.23,3704200
2019-04-04,31.24,31.29,30.87,31.05,31.05,2610400
2019-04-05,31.01,31.25,30.9,31.21,31.21,2566600
2019-04-08,31.22,31.24,30.87,30.92,30.92,2797800
2019-04-09,30.9,30.91,30.7,30.79,30.79,2260800
2019-04-10,30.91,30.99,30.81,30.97,30.97,2634500
2019-04-11,30.94,31.11,30.69,30.87,30.87,2422000
2019-04-12,30.81,30.89,30.38,30.86,30.86,2902500
