Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,61.08,61.45,60.41,60.84,60.84,2580400
2019-04-02,61.55,61.55,60.12,60.35,60.35,3058500
2019-04-03,60.55,60.81,59.3,59.56,59.56,1893800
2019-04-04,59.5,60.81,59.13,60.75,60.75,2487900
2019-04-05,61.0,63.1,60.87,63.0,63.0,4768400
2019-04-08,63.1,63.62,62.59,63.08,63.08,4155500
2019-04-09,62.71,63.31,61.89,62.54,62.54,3084400
2019-04-10,62.96,63.63,62.84,63.36,63.36,2856800
2019-04-11,62.97,63.69,62.23,63.29,63.29,2128400
2019-04-12,65.0,66.25,64.61,66.1,66.1,6405700
