Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,49.73,49.93,48.96,49.12,49.12,1727300
2019-04-02,49.08,49.5,48.45,48.84,48.84,2839100
2019-04-03,49.28,50.18,48.93,49.12,49.12,2323600
2019-04-04,49.26,49.81,48.93,49.73,49.73,1365200
2019-04-05,49.78,50.39,49.76,50.05,50.05,2055000
2019-04-08,50.02,50.33,48.94,49.18,49.18,2114600
2019-04-09,48.93,49.07,48.05,48.17,48.17,1584400
2019-04-10,48.49,50.61,48.35,50.04,50.04,2662300
2019-04-11,50.0,50.93,49.64,50.48,50.48,2300400
2019-04-12,51.21,51.22,49.93,50.25,50.25,2672600
