Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,49.94,50.33,49.75,49.86,49.86,2376100
2019-04-02,49.87,49.99,49.42,49.51,49.51,1605800
2019-04-03,49.87,49.92,49.22,49.72,49.72,3282700
2019-04-04,49.78,50.14,49.58,50.0,50.0,1878400
2019-04-05,50.0,50.18,49.81,49.93,49.93,1460400
2019-04-08,49.93,50.02,49.63,49.89,49.89,1544200
2019-04-09,49.81,49.84,49.51,49.69,49.69,1187100
2019-04-10,49.66,50.05,49.48,49.98,49.98,1425400
2019-04-11,50.22,50.64,50.04,50.57,50.57,1378400
2019-04-12,50.98,51.23,50.78,51.07,51.07,1320000
