Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,83.94,84.87,83.53,84.15,84.15,3434400
2019-04-02,84.1,85.22,83.86,85.04,85.04,3389100
2019-04-03,85.62,87.03,85.33,86.79,86.79,2853800
2019-04-04,87.16,87.64,86.82,87.31,87.31,2016100
2019-04-05,87.45,88.09,87.2,87.44,87.44,2618400
2019-04-08,87.73,88.25,87.09,88.18,88.18,1561400
2019-04-09,87.86,88.13,86.93,87.1,87.1,2480400
2019-04-10,87.19,88.09,87.05,87.99,87.99,1039600
2019-04-11,88.28,88.69,87.96,88.53,88.53,1696600
2019-04-12,88.9,89.34,88.24,88.73,88.73,1337400
