Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,36.07,36.97,35.9,36.96,36.96,1684500
2019-04-02,36.99,37.8,36.65,37.78,37.78,2253700
2019-04-03,38.0,38.12,37.32,37.96,37.96,2079600
2019-04-04,38.4,39.87,38.29,39.06,39.06,4103600
2019-04-05,39.08,40.74,38.78,40.31,40.31,3838100
2019-04-08,39.82,40.31,39.42,40.29,40.29,2901000
2019-04-09,39.94,39.97,38.62,38.83,38.83,1639600
2019-04-10,38.71,39.42,38.44,39.33,39.33,1432200
2019-04-11,39.31,39.67,39.25,39.42,39.42,1323600
2019-04-12,39.94,40.39,39.61,40.22,40.22,1419200
