Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,160.0,161.77,159.76,161.47,161.47,2393600
2019-04-02,161.32,161.55,159.86,161.04,161.04,3332700
2019-04-03,161.63,161.95,160.16,160.29,160.29,3815200
2019-04-04,160.26,161.35,159.79,161.07,161.07,1967300
2019-04-05,161.62,162.18,161.18,161.7,161.7,1745000
2019-04-08,161.2,162.1,160.55,162.06,162.06,1854000
2019-04-09,161.18,161.53,160.55,160.85,160.85,1932500
2019-04-10,160.8,160.8,159.21,159.97,159.97,2381000
2019-04-11,160.18,161.05,159.68,160.9,160.9,1756200
2019-04-12,161.91,162.63,161.4,162.47,162.47,2118900
