Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,56.33,57.77,55.99,57.52,57.52,1062000
2019-04-02,57.53,57.87,56.77,57.0,57.0,978500
2019-04-03,57.36,57.75,55.67,56.11,56.11,1117300
2019-04-04,56.17,57.46,55.63,57.08,57.08,927300
2019-04-05,57.47,58.8,57.04,58.4,58.4,1150500
2019-04-08,58.72,59.54,58.09,58.7,58.7,1507300
2019-04-09,58.53,58.74,57.62,58.13,58.13,955300
2019-04-10,58.53,59.84,58.32,59.48,59.48,1402800
2019-04-11,59.35,60.51,58.72,59.09,59.09,1097900
2019-04-12,60.19,60.73,59.49,60.32,60.32,1178800
