Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,15.55,15.91,15.54,15.9,15.9,10995700
2019-04-02,15.93,16.01,15.81,15.82,15.82,6484600
2019-04-03,16.02,16.08,15.74,15.85,15.85,12210800
2019-04-04,15.9,16.11,15.85,16.07,16.07,9514000
2019-04-05,16.01,16.17,16.0,16.15,16.15,6083900
2019-04-08,16.14,16.26,16.06,16.19,16.19,6414100
2019-04-09,16.12,16.14,15.9,15.95,15.95,5019000
2019-04-10,15.97,16.27,15.94,16.27,16.27,5654600
2019-04-11,16.18,16.33,16.1,16.27,16.27,6985300
2019-04-12,16.39,16.48,16.29,16.4,16.4,5240100
