Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,19.73,20.09,19.54,20.05,20.05,13958500
2019-04-02,20.14,20.2,19.67,19.72,19.72,16597200
2019-04-03,19.78,20.03,19.66,19.75,19.75,14054200
2019-04-04,19.78,19.86,19.65,19.76,19.76,9354000
2019-04-05,19.79,19.94,19.75,19.79,19.79,6320700
2019-04-08,19.74,20.01,19.74,19.94,19.94,7296100
2019-04-09,19.81,19.88,19.5,19.59,19.59,12549700
2019-04-10,19.58,20.0,19.57,19.97,19.97,12761900
2019-04-11,19.96,20.09,19.87,19.94,19.94,11975900
2019-04-12,20.04,20.25,20.02,20.21,20.21,8572500
