Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,24.04,24.38,23.95,24.33,24.33,4317000
2019-04-02,24.41,24.49,24.18,24.44,24.44,2651700
2019-04-03,24.55,24.69,24.38,24.4,24.4,2656700
2019-04-04,24.5,24.94,24.5,24.76,24.76,2211000
2019-04-05,24.78,25.1,24.77,24.93,24.93,2512900
2019-04-08,24.89,25.2,24.78,25.16,25.16,1857000
2019-04-09,25.14,25.14,24.75,24.79,24.79,1890700
2019-04-10,24.78,25.08,24.78,25.07,25.07,1757400
2019-04-11,25.15,25.49,25.15,25.23,25.23,2726700
2019-04-12,25.4,25.82,25.3,25.79,25.79,2181100
