Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,44.68,44.73,43.47,43.78,43.56,2196700
2019-04-02,43.75,43.77,43.05,43.08,42.86,3067200
2019-04-03,43.03,43.07,41.91,41.93,41.72,4455000
2019-04-04,42.01,42.2,41.52,41.58,41.37,2754400
2019-04-05,41.68,42.1,41.63,41.93,41.72,1937000
2019-04-08,41.87,42.33,41.64,42.32,42.11,2294400
2019-04-09,42.3,42.38,41.62,41.75,41.54,2370200
2019-04-10,41.75,42.02,41.5,41.75,41.54,2119900
2019-04-11,41.83,41.83,41.13,41.56,41.35,2591800
2019-04-12,41.27,41.33,40.91,41.15,41.15,2726400
