Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,161.59,163.52,161.01,163.3,163.3,720100
2019-04-02,163.71,163.94,161.79,161.9,161.9,494100
2019-04-03,162.59,163.01,159.29,160.0,160.0,683100
2019-04-04,160.36,163.48,160.36,162.31,162.31,794700
2019-04-05,162.73,164.57,162.6,164.5,164.5,832500
2019-04-08,164.49,164.76,162.99,164.01,164.01,602100
2019-04-09,163.14,163.68,162.37,163.18,163.18,733500
2019-04-10,162.99,163.17,161.87,162.69,162.69,844900
2019-04-11,162.41,165.63,162.41,165.22,165.22,625000
2019-04-12,165.75,167.99,165.66,167.84,167.84,481700
