Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,114.77,115.0,113.24,113.84,113.84,705100
2019-04-02,113.97,114.83,113.05,114.75,114.75,1012800
2019-04-03,114.75,115.38,113.94,114.86,114.86,1122800
2019-04-04,115.02,115.4,114.73,114.91,114.91,827200
2019-04-05,115.22,116.07,115.03,115.87,115.87,829600
2019-04-08,115.84,116.31,115.49,116.27,116.27,611000
2019-04-09,116.0,116.73,115.48,116.02,116.02,754000
2019-04-10,116.1,116.43,115.75,116.31,116.31,589800
2019-04-11,116.3,116.49,115.23,115.92,115.92,1049300
2019-04-12,115.81,116.35,115.39,116.11,116.11,810400
