Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,268.29,268.88,264.08,268.33,268.33,899100
2019-04-02,270.01,270.91,261.74,262.32,262.32,1084200
2019-04-03,263.97,264.98,258.04,263.76,263.76,1779300
2019-04-04,264.72,271.9,263.41,271.37,271.37,1174500
2019-04-05,270.39,276.74,268.8,276.48,276.48,1122100
2019-04-08,276.06,278.65,271.98,273.56,273.56,1084500
2019-04-09,272.47,275.18,269.09,274.63,274.63,1003000
2019-04-10,274.94,275.28,266.22,266.5,266.5,1209300
2019-04-11,267.55,268.58,255.38,260.74,260.74,2114400
2019-04-12,261.53,262.23,251.69,253.31,253.31,1840700
