Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,129.65,130.89,129.17,130.81,130.81,744300
2019-04-02,131.0,132.1,129.96,130.53,130.53,929500
2019-04-03,131.35,131.35,130.12,130.76,130.76,774600
2019-04-04,131.14,132.86,130.92,131.86,131.86,1014000
2019-04-05,132.19,132.73,131.5,132.22,132.22,693300
2019-04-08,132.22,132.35,131.17,131.95,131.95,534100
2019-04-09,130.74,132.07,130.29,131.19,131.19,915000
2019-04-10,131.72,131.72,129.24,130.49,130.49,962500
2019-04-11,130.47,131.37,130.05,131.14,131.14,821700
2019-04-12,131.64,133.72,131.27,133.51,133.51,1346800
