Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,314.45,318.41,314.08,316.84,316.84,948600
2019-04-02,315.0,318.31,311.27,316.1,316.1,667500
2019-04-03,318.86,321.73,317.04,319.2,319.2,806600
2019-04-04,318.03,318.55,311.84,315.02,315.02,543400
2019-04-05,317.36,323.62,316.16,323.5,323.5,843300
2019-04-08,322.13,324.0,314.09,323.61,323.61,1093600
2019-04-09,320.92,322.57,315.35,316.64,316.64,920600
2019-04-10,317.01,325.49,314.4,324.86,324.86,1040000
2019-04-11,325.0,328.58,322.81,328.52,328.52,888900
2019-04-12,331.86,340.4,331.18,338.37,338.37,1455100
