Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.73,55.08,54.49,54.66,54.66,2255900
2019-04-02,54.82,55.0,54.58,54.73,54.73,1905100
2019-04-03,54.92,55.25,54.75,54.94,54.94,1495400
2019-04-04,54.93,55.02,54.71,54.96,54.96,1557600
2019-04-05,55.0,55.28,54.03,54.77,54.77,1310600
2019-04-08,54.72,54.97,54.34,54.89,54.89,1487700
2019-04-09,54.74,55.01,54.62,54.87,54.87,1055600
2019-04-10,54.98,55.17,54.79,54.97,54.97,866400
2019-04-11,55.0,55.1,54.77,55.01,55.01,864100
2019-04-12,55.16,55.31,54.89,55.08,55.08,1242700
