Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.34,54.57,54.1,54.51,54.51,17830400
2019-04-02,54.53,54.8,54.23,54.36,54.36,13704500
2019-04-03,55.03,55.99,54.89,55.48,55.48,24552800
2019-04-04,55.27,56.14,55.27,55.92,55.92,16520500
2019-04-05,55.75,55.95,54.87,55.6,55.6,19268400
2019-04-08,55.28,55.74,55.2,55.68,55.68,11758800
2019-04-09,55.35,55.43,54.9,55.32,55.32,13339700
2019-04-10,55.32,55.86,55.32,55.75,55.75,13084000
2019-04-11,55.76,56.07,55.63,55.8,55.8,10845800
2019-04-12,56.21,56.49,55.84,56.42,56.42,12910200
