Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,264.52,266.32,261.32,265.75,265.27,1245700
2019-04-02,269.13,269.18,264.82,268.26,267.78,1255800
2019-04-03,270.23,272.14,268.42,269.08,268.59,1957100
2019-04-04,269.35,269.93,258.61,262.63,262.16,1945600
2019-04-05,263.42,264.66,260.99,261.7,261.23,1119800
2019-04-08,261.8,262.27,257.62,260.76,260.29,1630400
2019-04-09,258.42,261.21,258.42,258.9,258.9,1019900
2019-04-10,259.92,261.0,257.73,259.09,259.09,2061500
2019-04-11,260.74,260.74,258.71,259.59,259.59,1329700
2019-04-12,260.93,261.84,258.29,260.06,260.06,2117700
