Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.51,47.71,46.39,47.65,47.65,3150200
2019-04-02,47.65,47.72,46.91,47.13,47.13,1979500
2019-04-03,47.53,47.96,47.28,47.7,47.7,2937300
2019-04-04,47.53,47.53,46.56,47.31,47.31,2409200
2019-04-05,46.52,47.69,46.17,47.37,47.37,2848700
2019-04-08,47.37,47.53,47.07,47.36,47.36,1508000
2019-04-09,47.1,47.23,46.68,47.13,47.13,1853200
2019-04-10,46.95,47.29,46.51,46.93,46.93,1898600
2019-04-11,47.14,47.74,46.91,47.06,47.06,2157700
2019-04-12,47.46,47.96,47.43,47.76,47.76,1911500
