Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,145.25,145.6,144.28,144.31,144.31,984900
2019-04-02,144.24,144.97,143.84,144.3,144.3,771600
2019-04-03,145.26,145.72,144.04,144.4,144.4,1865000
2019-04-04,144.84,144.84,140.88,142.23,142.23,1738000
2019-04-05,142.75,144.66,142.21,144.26,144.26,1398900
2019-04-08,144.33,144.33,141.89,144.04,144.04,757400
2019-04-09,143.76,145.22,143.49,144.29,144.29,973300
2019-04-10,144.87,146.1,144.39,144.81,144.81,1256100
2019-04-11,144.85,144.85,142.74,143.18,143.18,909400
2019-04-12,143.9,144.65,142.35,142.52,142.52,814300
