Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,109.0,110.35,108.99,110.18,110.18,1428600
2019-04-02,110.45,111.0,109.52,110.26,110.26,883800
2019-04-03,110.84,111.38,110.27,110.7,110.7,1413400
2019-04-04,111.74,112.57,111.27,112.34,112.34,1831800
2019-04-05,112.65,113.45,112.04,112.6,112.6,1124000
2019-04-08,112.0,112.54,111.89,112.53,112.53,1187600
2019-04-09,112.28,112.31,111.16,111.22,111.22,1312700
2019-04-10,111.45,111.45,110.01,110.99,110.99,1330900
2019-04-11,111.19,112.75,110.64,112.68,112.68,1331900
2019-04-12,113.46,114.5,113.46,114.41,114.41,1551900
