Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,35.47,35.81,35.21,35.75,35.75,2115300
2019-04-02,35.68,35.78,35.3,35.78,35.78,1805800
2019-04-03,35.78,35.89,35.56,35.89,35.89,1378200
2019-04-04,35.9,35.96,35.74,35.93,35.93,961100
2019-04-05,35.97,36.39,35.97,36.36,36.36,1741100
2019-04-08,36.35,36.4,36.13,36.3,36.3,1152600
2019-04-09,36.3,36.35,35.89,35.97,35.97,1262900
2019-04-10,36.11,36.3,35.9,36.21,36.21,844200
2019-04-11,36.29,36.5,36.16,36.29,36.29,1001800
2019-04-12,36.26,36.54,35.95,36.53,36.53,1291300
